"","x"
"1283","101302020607"
"1284","101302030201"
"1285","101302030202"
"1286","101302030203"
"1287","101302030205"
"1288","101302030301"
"1289","101302030303"
"1290","100200050303"
"1291","101000011304"
"1292","101000011505"
"1293","100200030308"
"1294","100200050403"
"1295","100200050402"
"1296","100200050301"
"1297","210100050104"
"1298","210100050105"
"1299","210100050106"
"1300","210100050107"
"1301","210100050203"
"1302","210100050205"
"1303","210100050206"
"1304","210100050207"
"1305","210100050301"
"1306","010900010402"
"1307","010900011008"
"1308","010900010502"
"1309","010900011007"
"1310","010900011003"
"1311","010900010301"
"1312","210100050308"
"1313","210100050302"
"1314","210100050303"
"1315","210100050307"
"1316","210100050309"
"1317","210100050414"
"1318","210100050503"
"1319","210100050603"
"1320","210100050604"
"1321","210100050714"
"1322","010900010205"
"1323","010900010305"
"1324","010900011004"
"1325","010900020700"
"1326","010900020602"
"1327","010900020504"
"1328","210100030500"
"1329","210100020600"
"1330","010900020402"
"1331","010900020503"
"1332","010900020502"
"1333","010900020306"
"1334","010900020501"
"1335","010900020401"
"1336","010900020305"
"1337","010900020103"
"1338","210100020107"
"1339","010900020301"
"1340","010900020303"
"1341","010900020302"
"1342","010900020105"
"1343","010900020106"
"1344","010900020201"
"1345","010900020202"
"1346","010900020101"
"1347","010900020102"
"1348","010900020107"
"1349","210100020502"
"1350","210100020211"
"1351","210100020302"
"1352","210100020414"
"1353","210100020504"
"1354","210100020505"
"1355","210100020506"
"1356","210100020507"
"1357","210100030111"
"1358","210100030112"
"1359","210100030113"
"1360","210100030114"
"1361","210100030212"
"1362","210100030213"
"1363","210100030214"
"1364","210100030409"
"1365","210100030215"
"1366","210100030301"
"1367","210100030302"
"1368","210100030413"
"1369","210100030410"
"1370","210100030411"
"1371","210100030412"
"1372","210100040101"
"1373","170502020302"
"1374","210100040102"
"1375","210100040103"
"1376","120903010707"
"1377","121001020102"
"1378","170502020301"
"1379","210100040108"
"1380","210100040107"
"1381","210100040109"
"1382","210100040203"
"1383","210100040204"
"1384","210100040206"
"1385","210100040208"
"1386","210100040209"
"1387","210100040304"
"1388","210100040308"
